City Number,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country
96,samfya,-11.3649,29.5565,57.96,50,0,8.59,ZM
97,kununurra,-15.7667,128.7333,75.2,20,5,11.41,AU
98,huanren,41.2647,125.3667,78.62,43,0,1.77,CN
99,busayra,30.7376,35.6078,63.27,53,0,5.44,JO
100,qaanaaq,77.484,-69.3632,47.05,54,0,1.41,GL
101,hilo,19.7297,-155.09,82.4,61,75,10.29,US
102,black river,18.0264,-77.8487,84.2,74,40,2.24,JM
103,noumea,-22.2763,166.4572,75.2,41,20,11.41,NC
104,synya,65.3718,58.0387,67.51,90,100,4.9,RU
105,tual,-5.6667,132.75,79.3,82,100,22.57,ID
106,saint anthony,45.0205,-93.218,90.0,52,1,11.41,US
107,kaeo,-35.1,173.7833,57.99,3,0,13.0,NZ
108,obo,5.3998,26.4869,66.6,80,90,0.76,CF
109,surt,31.2089,16.5887,74.59,88,0,6.29,LY
110,wairoa,-39.0333,177.3667,52.0,42,39,14.0,NZ
111,taksimo,56.3444,114.8794,68.86,56,90,3.76,RU
112,saint-philippe,-21.3585,55.7679,69.8,56,38,11.41,RE
113,lebu,-37.6167,-73.65,47.93,76,100,11.45,CL
114,saskylakh,71.9167,114.0833,61.95,51,15,10.31,RU
115,taltal,-25.4,-70.4833,59.83,50,0,6.8,CL
116,ilulissat,69.2167,-51.1,51.8,50,93,13.87,GL
117,hamilton,39.1834,-84.5333,84.99,78,40,4.7,US
118,provost,52.3501,-110.2683,52.32,72,100,18.28,CA
119,castro,-24.7911,-50.0119,54.03,69,55,8.63,BR
120,kahului,20.8947,-156.47,86.0,51,40,20.8,US
121,agadez,19.75,10.25,86.11,25,0,10.36,NE
122,grindavik,63.8424,-22.4338,48.2,76,75,12.75,IS
123,namibe,-15.1961,12.1522,64.92,79,0,4.65,AO
124,port blair,11.6667,92.75,81.45,76,100,4.34,IN
125,omsukchan,62.5333,155.8,52.88,74,100,8.39,RU
126,fairbanks,64.8378,-147.7164,66.99,59,40,5.82,US
127,vila franca do campo,37.7167,-25.4333,66.2,72,40,5.82,PT
128,mar del plata,-38.0023,-57.5575,45.0,86,95,6.93,AR
129,licata,37.1071,13.9461,68.0,82,2,4.7,IT
130,ponta do sol,32.6667,-17.1,68.0,72,20,16.11,PT
131,russell,32.3502,-85.1999,84.2,74,1,4.7,US
132,vestmannaeyjar,63.4427,-20.2734,49.03,81,1,21.52,IS
133,kenai,60.5544,-151.2583,60.8,72,90,3.36,US
134,lompoc,34.6391,-120.4579,63.0,72,1,13.87,US
135,byron bay,-28.65,153.6167,62.01,93,75,9.17,AU
136,chifeng,42.2683,118.9636,78.15,37,99,6.02,CN
137,sabinas,27.85,-101.1167,96.13,29,10,13.53,MX
138,torbay,47.6666,-52.7314,51.01,87,20,11.41,CA
139,honiara,-9.4333,159.95,89.6,62,75,13.87,SB
140,awallan,17.9244,121.913,89.17,62,91,3.2,PH
141,nemuro,43.3236,145.575,66.2,93,75,5.82,JP
142,roros,62.5747,11.3842,39.2,93,85,5.82,NO
143,najran,17.4924,44.1277,86.0,17,33,4.7,SA
144,leshukonskoye,64.8989,45.7622,65.48,93,6,6.89,RU
145,victoria,22.2855,114.1577,86.0,74,100,17.0,HK
146,kajaani,64.2273,27.7285,42.8,93,0,2.24,FI
147,atuona,-9.8,-139.0333,79.84,72,2,11.99,PF
148,souillac,-20.5167,57.5167,69.8,83,75,12.75,MU
149,upernavik,72.7868,-56.1549,41.9,74,0,9.55,GL
150,ulladulla,-35.35,150.4667,55.99,66,0,12.75,AU
151,mogadishu,2.0371,45.3438,77.59,84,100,14.67,SO
152,hobyo,5.3505,48.5268,78.19,79,99,23.33,SO
153,liverpool,53.4106,-2.9779,57.2,100,90,4.7,GB
154,ostrovnoy,68.0531,39.5131,52.65,90,96,1.52,RU
155,bethel,41.3712,-73.414,72.0,100,20,3.36,US
156,lipin bor,60.2622,37.9763,54.19,91,100,12.03,RU
157,nikolskoye,59.7035,30.7861,51.8,87,100,4.7,RU
158,yellowknife,62.456,-114.3525,66.2,45,40,10.29,CA
159,bathsheba,13.2167,-59.5167,80.6,83,40,12.75,BB
160,ancud,-41.8697,-73.8203,44.01,93,100,9.17,CL
161,bengkulu,-3.8004,102.2655,76.12,84,100,3.18,ID
162,chokurdakh,70.6333,147.9167,54.19,64,85,10.11,RU
163,laguna,38.421,-121.4238,95.0,20,1,14.99,US
164,nizwa,22.9333,57.5333,83.89,50,100,3.51,OM
